"","species","area.km2","status"
"217","Liquidambar styraciflua",17598067.277801,"NT"
"218","Platanus occidentalis",16964375.196523,"NT"
"219","Taxodium mucronatum",1606067.39767223,"NT"
"220","Taxodium distichum",12220425.9382229,"NT"
"221","Phoradendron leucarpum",3615576.54423245,"NT"
"222","Ceanothus cuneatus",477797.900837245,"NT"
"223","Pieris floribunda",703403.261001549,"NT"
"224","Rhododendron periclymenoides",1204566.63998765,"NT"
"225","Rhododendron alabamense",501805.338929857,"NT"
"226","Rhododendron arborescens",780027.881545142,"NT"
"227","Rhododendron atlanticum",189414.824463224,"NT"
"228","Aquilegia canadensis",4087844.9892975,"NT"
"229","Actaea rubra",11813197.4250857,"NT"
"230","Clematis lasiantha",397790.926268449,"NT"
"231","Betula alleghaniensis",3704780.5393001,"NT"
"232","Betula papyrifera",10669289.23012,"NT"
"233","Betula populifolia",5634670.92625888,"NT"
"234","Sisyrinchium angustifolium",3918966.17400539,"NT"
"235","Sisyrinchium bellum",542184.546798434,"NT"
"236","Quercus kelloggii",369456.346564688,"NT"
"237","Castilleja affinis",448826.837126364,"NT"
"238","Calliandra californica",23047733.0466104,"NT"
"239","Justicia californica",640679.957593867,"NT"
"240","Sphaeralcea ambigua",2329048.95493261,"NT"
"241","Mohavea confertiflora",129445.593978975,"NT"
"242","Mohavea breviflora",129904.815107466,"NT"
"243","Abronia villosa",583790.419804772,"NT"
"244","Phacelia campanularia",14766901.4699765,"NT"
"245","Astragalus coccineus",121102.305085239,"NT"
"246","Washingtonia filifera",8648773.02284296,"NT"
"247","Cordyline australis",8390017.90377079,"NT"
"248","Chaenactis fremontii",437560.527809003,"NT"
"249","Palafoxia linearis",632042.264534989,"NT"
"250","Bidens bipinnata",37835468.211211,"NT"
"251","Bidens pilosa",57055509.0546614,"NT"
"252","Maianthemum bifolium",18160033.5921357,"NT"
"253","Arceuthobium vaginatum",1775782.17457251,"NT"
"254","Parthenocissus quinquefolia",30909556.8011915,"NT"
"255","Fragaria vesca",36805407.6031507,"NT"
"256","Arisaema triphyllum",4191138.45667018,"NT"
"257","Dirca palustris",3719676.31790322,"NT"
"258","Dirca occidentalis",31187.7378192557,"NT"
"259","Pachysandra procumbens",1769546.67556369,"NT"
"260","Lathyrus vestitus",479012.512320117,"NT"
"261","Lantana camara",51839053.3426769,"NT"
"262","Ludwigia peruviana",10441749.8231797,"NT"
"263","Enhalus acoroides",6116760.30364139,"NT"
"264","Halophila ovalis",17472283.0585609,"NT"
"265","Thalassia hemprichii",9301123.59590149,"NT"
"266","Lupinus nanus",407136.30904954,"NT"
"267","Lupinus bicolor",1024074.83152258,"NT"
"268","Mirabilis jalapa",88097200.0995259,"NT"
"269","Phacelia ramosissima",958099.685926127,"NT"
"270","Fritillaria affinis",634457.005865179,"NT"
"271","Streptanthus hispidus",25751.8858858408,"NT"
"272","Ptelea crenulata",155668.38135954,"NT"
"273","Ptelea trifoliata",7195364.9425217,"NT"
"274","Erysimum capitatum",15521223.3857518,"NT"
"275","Delphinium variegatum",404196.8092813,"NT"
"276","Solanum umbelliferum",527389.119176464,"NT"
"277","Delphinium nudicaule",237881.284078579,"NT"
"278","Salvia mellifera",268388.895184794,"NT"
"279","Orthocarpus purpureoalbus",174906.13511342,"NT"
"280","Nemophila menziesii",16908008.9525411,"NT"
"281","Collinsia sparsiflora",310088.608310241,"NT"
"282","Cephalanthera austiniae",528583.650658569,"NT"
"283","Corallorhiza striata",6993863.05608008,"NT"
"284","Corallorhiza trifida",33036210.8830755,"NT"
"285","Cypripedium californicum",130389.662375153,"NT"
"286","Cypripedium fasciculatum",523000.737978158,"NT"
"287","Cypripedium montanum",1060682.46212157,"NT"
"288","Cypripedium parviflorum",12896566.5770778,"NT"
"289","Epipactis gigantea",4539988.99261279,"NT"
"290","Epipactis helleborine",14807744.9660858,"NT"
"291","Goodyera oblongifolia",2652483.81112354,"NT"
"292","Malaxis monophyllos",10267091.7845495,"NT"
"293","Platanthera sparsiflora",1141524.865925,"NT"
"294","Platanthera stricta",2047941.14231209,"NT"
"295","Spiranthes porrifolia",270036.29537605,"NT"
"296","Spiranthes romanzoffiana",15159041.0239977,"NT"
"297","Linaria vulgaris",43472223.7499381,"NT"
"298","Triphysaria eriantha",183141.313225986,"NT"
"299","Astragalus rattanii",28453.8388828107,"NT"
"300","Ancistrocarphus filagineus",839877.675720844,"NT"
"301","Wyethia amplexicaulis",1200416.22190816,"NT"
"302","Wyethia helenioides",157860.160725959,"NT"
"303","Lithophragma affine",332434.838843905,"NT"
"304","Stebbinsoseris heterocarpa",265410.104463687,"NT"
"305","Uropappus lindleyi",1195385.13632976,"NT"
"306","Scrophularia californica",539543.892478162,"NT"
"307","Agave angustifolia",36441372.9297924,"NT"
"308","Trillium chloropetalum",218804.80970196,"NT"
"309","Ribes speciosum",145017.220355655,"NT"
"310","Viola pedunculata",155909.592384115,"NT"
"311","Myagrum perfoliatum",573619.827281188,"NT"
"312","Primula farinosa",7460568.7462916,"NT"
"313","Gilia tricolor",18490466.0407976,"NT"
"314","Calochortus tolmiei",234665.965079692,"NT"
"315","Hosackia gracilis",150062.048701327,"NT"
"316","Sparaxis tricolor",3614935.14374133,"NT"
"317","Cerastium arvense",75303062.381914,"NT"
"318","Iris douglasiana",732373.763401784,"NT"
"319","Trillium erectum",2064413.48953634,"NT"
"320","Scorpiurus muricatus",3821684.90595277,"NT"
"321","Phacelia cicutaria",609155.660012093,"NT"
"322","Phacelia congesta",925757.604668136,"NT"
"323","Catalpa bignonioides",32256034.7783023,"NT"
"324","Quercus suber",3211604.5887729,"NT"
"325","Layia platyglossa",487956.46136751,"NT"
"326","Erigeron glaucus",1949880.83148189,"NT"
"327","Asimina triloba",2465193.69288205,"NT"
"328","Cynomorium coccineum",5086158.23651404,"NT"
"329","Cynomorium songaricum",2236393.18367729,"NT"
"330","Caulerpa taxifolia",13305011.7005407,"NT"
"331","Caulerpa racemosa",31532730.3744695,"NT"
